files,train,lr,knn,dt
888_fri_c0_500_50.csv,True,81.6,69.0,73.4
37_diabetes.csv,True,77.4675324675325,73.42617908407382,70.42378673957623
785_wind_correlations.csv,True,86.5,84.5,89.0
40702_solar-flare.csv,True,83.39005466408041,82.83107035796156,80.8596367483689
885_transplant.csv,True,97.6923076923077,96.97802197802199,98.46153846153847
1539_volcanoes-d2.csv,True,94.47233685671046,94.23244785615688,90.47103489402545
448_analcatdata_boxing1.csv,True,89.99999999999999,90.00000000000001,85.83333333333334
790_elusage.csv,True,89.66666666666667,82.0,88.66666666666667
941_lowbwt.csv,True,84.67836257309942,75.67251461988305,79.41520467836258
910_fri_c1_1000_10.csv,True,69.5,79.2,86.8
855_fri_c4_500_10.csv,True,66.2,78.4,81.0
1548_autoUniv-au4-2500.csv,True,57.64,50.92,52.44
892_sleuth_case1201.csv,True,94.0,92.0,94.0
1050_pc3.csv,True,90.27519189939571,88.99232402417115,86.04891393107954
745_auto_price.csv,True,96.875,93.75,94.375
1565_heart-h.csv,False,64.97701149425288,66.60919540229885,59.14942528735632
40708_allrep.csv,True,96.6861746172091,96.50049822463616,98.30358020013193
694_diggle_table_a2.csv,True,80.96774193548387,97.74193548387098,99.6774193548387
799_fri_c0_1000_5.csv,True,85.1,87.6,80.8
1490_planning-relax.csv,True,71.46198830409355,65.96491228070175,58.830409356725134
1554_autoUniv-au7-500.csv,True,40.6,39.0,47.6
747_servo.csv,True,95.14705882352942,94.55882352941177,93.41911764705883
1009_white-clover.csv,True,75.0,67.14285714285714,66.42857142857142
949_arsenic-female-bladder.csv,True,88.36688311688312,86.4090909090909,84.07142857142858
1488_parkinsons.csv,True,86.52631578947368,90.26315789473685,88.65789473684211
450_analcatdata_lawsuit.csv,True,95.82621082621083,95.44159544159545,97.36467236467237
896_fri_c3_500_25.csv,True,63.6,67.6,82.2
837_fri_c1_1000_50.csv,True,66.0,61.4,84.1
40686_solar-flare.csv,True,72.36895161290322,70.77620967741936,69.52620967741936
40981_Australian.csv,True,86.23188405797102,84.34782608695653,82.31884057971016
746_fri_c1_250_25.csv,True,58.8,54.8,80.8
1115_teachingAssistant.csv,False,65.54166666666666,56.875,81.375
